Student number, Year, Major, Course Title
32,1,Environmental Science,Psychology,General Chemistry
32,1,Environmental Science,Introduction to Anthropology,College Success Seminar
32,2,Environmental Science,Environmental Policy and Regulation,Statistics for Environmental Sciences
32,2,Environmental Science,Earth System Science,Introduction to Programming (Python)
32,2,Environmental Science,Art,Physics I
32,2,Environmental Science,Communication and Presentation Skills,Environmental Ethics
32,3,Environmental Science,Ecosystem Ecology,Environmental Chemistry
32,3,Environmental Science,Data Analysis for Environmental Science,Geology and Earth Processes
32,3,Environmental Science,Economics,Technical Writing and Presentation
32,3,Environmental Science,History and Systems of Environmental Science,Environmental Field Methods
32,4,Environmental Science,Senior Thesis in Environmental Science,Environmental Impact Assessment
32,4,Environmental Science,Conservation Biology,Environmental Science Elective
32,4,Environmental Science,Environmental Science Elective,Ethics in Environmental Science
32,4,Environmental Science,Environmental Science Seminar,Independent Research in Environmental Science
32,1,Biology,Introduction to Biology,Calculus I
32,1,Biology,Introduction to Digital Logic,English Composition
33,1,Biology,Art,General Chemistry
33,1,Biology,Introduction to Sociology,College Success Seminar
33,2,Biology,Genetics,Calculus II
33,2,Biology,Cell Biology,Introduction to Programming (Python)
33,2,Biology,Spanish Language,Physics I
33,2,Biology,Communication and Presentation Skills,Environmental Science
33,3,Biology,Microbiology,Ecology
33,3,Biology,Data Analysis for Biology,Organic Chemistry I
33,3,Biology,Economics,Technical Writing and Presentation
33,3,Biology,History and Philosophy of Science,Engineering Design Laboratory
33,4,Biology,Senior Thesis in Biology,Advanced Topics in Biology
33,4,Biology,Biochemistry,Biology Elective
33,4,Biology,Biology Elective,Ethics in Science
33,4,Biology,Independent Research in Biology,Biology Seminar
33,1,Aerospace Engineering,Introduction to Aerospace Engineering,Calculus I
33,1,Aerospace Engineering,Introduction to Digital Logic,English Composition
34,1,Aerospace Engineering,Spanish Language,General Chemistry
34,1,Aerospace Engineering,Introduction to Sociology,College Success Seminar
34,2,Aerospace Engineering,Dynamics,Calculus II
34,2,Aerospace Engineering,Introduction to Programming (Python),Introduction to Mechanical Engineering
34,2,Aerospace Engineering,Art,Physics I
34,2,Aerospace Engineering,Communication and Presentation Skills,Engineering Ethics
34,3,Aerospace Engineering,Mechanics of Materials,Thermodynamics
34,3,Aerospace Engineering,Data Structures and Algorithms,Electromagnetic Fields and Waves
34,3,Aerospace Engineering,Economics,Technical Writing and Presentation
34,3,Aerospace Engineering,History and Philosophy of Science,Engineering Design Laboratory
34,4,Aerospace Engineering,Senior Design Project I,Senior Design Project II
34,4,Aerospace Engineering,Aerospace Propulsion,Aircraft Stability and Control
34,4,Aerospace Engineering,Engineering Elective,Engineering Elective
34,4,Aerospace Engineering,Ethics in Engineering,Engineering Seminar
34,1,Economics,Principles of Microeconomics,Calculus I
34,1,Economics,Introduction to Digital Logic,English Composition
35,1,Economics,Spanish Language,General Chemistry
35,1,Economics,Introduction to Sociology,College Success Seminar
35,2,Economics,Principles of Macroeconomics,Calculus II
35,2,Economics,Statistics for Economics,Introduction to Programming (Python)
35,2,Economics,Art,Physics I
35,2,Economics,Communication and Presentation Skills,Environmental Science
35,3,Economics,Intermediate Microeconomics,Intermediate Macroeconomics
35,3,Economics,Data Analysis for Economics,Money and Banking
35,3,Economics,Technical Writing and Presentation,History and Philosophy of Economics
35,3,Economics,Ethics in Economics,Engineering Design Laboratory
35,4,Economics,Senior Thesis in Economics,Economic Development
35,4,Economics,Public Finance,Economics Elective
35,4,Economics,Economics Elective,Ethics in Economics
35,4,Economics,Independent Research in Economics,Economics Seminar
35,1,Journalism,Introduction to Journalism,English Composition
35,1,Journalism,Introduction to Digital Logic,Spanish Language
36,1,Journalism,Art,General Psychology
36,1,Journalism,Introduction to Sociology,College Success Seminar
36,2,Journalism,News Writing and Reporting,Feature Writing
36,2,Journalism,Journalism Ethics and Law,Introduction to Programming (Python)
36,2,Journalism,Communication and Presentation Skills,Environmental Science
36,2,Journalism,Introduction to Photography,History of Journalism
36,3,Journalism,Digital Journalism,Multimedia Storytelling
36,3,Journalism,Data Journalism,Economics of Media
36,3,Journalism,Technical Writing and Presentation,History and Philosophy of Journalism
36,3,Journalism,Journalism and Society,Engineering Design Laboratory
36,4,Journalism,Investigative Journalism,Senior Capstone in Journalism
36,4,Journalism,Journalism Elective,Ethics in Journalism
36,4,Journalism,Journalism Elective,Independent Research in Journalism
36,4,Journalism,Journalism Seminar,Journalism Seminar
36,1,Political Science,Introduction to Political Science,English Composition
36,1,Political Science,Introduction to Digital Logic,Spanish Language
37,1,Political Science,Psychology,General Chemistry
37,1,Political Science,Introduction to Sociology,College Success Seminar
37,2,Political Science,Comparative Politics,Calculus II
37,2,Political Science,International Relations,Introduction to Programming (Python)
37,2,Political Science,Art,Physics I
37,2,Political Science,Communication and Presentation Skills,Environmental Science
37,3,Political Science,American Government,Political Theory
37,3,Political Science,Data Analysis for Political Science,Environmental Policy and Regulation
37,3,Political Science,Technical Writing and Presentation,History and Philosophy of Political Science
37,3,Political Science,Public Administration,Engineering Design Laboratory
37,4,Political Science,Senior Thesis in Political Science,Political Science Elective
37,4,Political Science,Political Science Elective,Ethics in Politics
37,4,Political Science,Political Science Elective,Independent Research in Political Science
37,4,Political Science,Political Science Seminar,Political Science Seminar
37,1,Biology,Introduction to Biology,Calculus I
37,1,Biology,Introduction to Digital Logic,English Composition
38,1,Biology,Art,General Chemistry
38,1,Biology,Introduction to Sociology,College Success Seminar
38,2,Biology,Genetics,Calculus II
38,2,Biology,Cell Biology,Introduction to Programming (Python)
38,2,Biology,Spanish Language,Physics I
38,2,Biology,Communication and Presentation Skills,Ethics in Science
38,3,Biology,Ecology,Molecular Biology
38,3,Biology,Data Analysis for Biology,Evolutionary Biology
38,3,Biology,Art,Technical Writing and Presentation
38,3,Biology,History and Philosophy of Science,Engineering Design Laboratory
38,4,Biology,Senior Thesis in Biology,Advanced Topics in Biology
38,4,Biology,Physiology,Biology Elective
38,4,Biology,Biology Elective,Ethics in Biology
38,4,Biology,Biology Seminar,Independent Research in Biology
38,1,Civil Engineering,Introduction to Civil Engineering,Calculus I
38,1,Civil Engineering,Introduction to Digital Logic,English Composition
39,1,Civil Engineering,Art,General Chemistry
39,1,Civil Engineering,Introduction to Sociology,College Success Seminar
39,2,Civil Engineering,Mechanics of Materials,Calculus II
39,2,Civil Engineering,Engineering Materials,Introduction to Programming (Python)
39,2,Civil Engineering,Spanish Language,Physics I
39,2,Civil Engineering,Communication and Presentation Skills,Ethics in Engineering
39,3,Civil Engineering,Structural Analysis,Geotechnical Engineering
39,3,Civil Engineering,Fluid Mechanics,Transportation Engineering
39,3,Civil Engineering,Art,Technical Writing and Presentation
39,3,Civil Engineering,History and Philosophy of Science,Engineering Design Laboratory
39,4,Civil Engineering,Senior Design Project I,Senior Design Project II
39,4,Civil Engineering,Environmental Engineering,Construction Management
39,4,Civil Engineering,Civil Engineering Elective,Engineering Elective
39,4,Civil Engineering,Engineering Seminar,Ethics in Engineering
39,1,English Literature,Introduction to Literature,Calculus I
39,1,English Literature,Introduction to Digital Logic,English Composition
40,1,English Literature,Art,General Chemistry
40,1,English Literature,Introduction to Sociology,College Success Seminar
40,2,English Literature,World Literature,American Literature
40,2,English Literature,Poetry and Poetics,Introduction to Programming (Python)
40,2,English Literature,Spanish Language,Communication and Presentation Skills
40,2,English Literature,History and Philosophy of Literature,Ethics in Literature
40,3,English Literature,Shakespearean Drama,British Literature
40,3,English Literature,African-American Literature,Technical Writing and Presentation
40,3,English Literature,Art,History and Philosophy of Science
40,4,English Literature,Senior Thesis in English Literature,Literature Elective
40,4,English Literature,Modernist Literature,English Literature Elective
40,4,English Literature,Literature Elective,English Literature Seminar
40,4,English Literature,Independent Research in English Literature,Ethics in Literature
40,1,Aerospace Engineering,Introduction to Aerospace Engineering,Calculus I
40,1,Aerospace Engineering,Introduction to Digital Logic,English Composition
40,1,Aerospace Engineering,Art,General Chemistry
41,1,Aerospace Engineering,Introduction to Sociology,College Success Seminar
41,2,Aerospace Engineering,Aerospace Structures,Calculus II
41,2,Aerospace Engineering,Aerodynamics,Introduction to Programming (Python)
41,2,Aerospace Engineering,Spanish Language,Physics I
41,2,Aerospace Engineering,Communication and Presentation Skills,Engineering Ethics
41,3,Aerospace Engineering,Flight Dynamics,Space Systems Engineering
41,3,Aerospace Engineering,Data Analysis for Aerospace Engineering,Propulsion Systems
41,3,Aerospace Engineering,Art,Technical Writing and Presentation
41,3,Aerospace Engineering,History and Philosophy of Aerospace Engineering,Engineering Design Laboratory
41,4,Aerospace Engineering,Senior Design Project I,Senior Design Project II
41,4,Aerospace Engineering,Astronautics,Aerospace Engineering Elective
41,4,Aerospace Engineering,Aerospace Engineering Elective,Engineering Seminar
41,4,Aerospace Engineering,Ethics in Engineering,Aerospace Engineering Seminar
41,1,Economics,Principles of Economics,Calculus I
41,1,Economics,Introduction to Digital Logic,English Composition
41,1,Economics,Art,General Chemistry
42,1,Economics,Introduction to Sociology,College Success Seminar
42,2,Economics,Microeconomics,Macroeconomics
42,2,Economics,Statistics for Economics,Introduction to Programming (Python)
42,2,Economics,Spanish Language,Communication and Presentation Skills
42,2,Economics,History of Economic Thought,Ethics in Economics
42,3,Economics,International Trade,Public Economics
42,3,Economics,Data Analysis for Economics,Economics Elective
42,3,Economics,Art,Technical Writing and Presentation
42,3,Economics,History and Philosophy of Economics,Engineering Design Laboratory
42,4,Economics,Senior Thesis in Economics,Economics Elective
42,4,Economics,Development Economics,Economics Seminar
42,4,Economics,Economics Elective,Ethics in Economics
42,4,Economics,Independent Research in Economics,Economics Seminar
42,1,Biomedical Engineering,Introduction to Biomedical Engineering,Calculus I
42,1,Biomedical Engineering,Introduction to Digital Logic,English Composition
42,1,Biomedical Engineering,Art,General Chemistry
43,1,Biomedical Engineering,Introduction to Sociology,College Success Seminar
43,2,Biomedical Engineering,Biomechanics,Calculus II
43,2,Biomedical Engineering,Introduction to Programming (Python),Introduction to Cellular Biology
43,2,Biomedical Engineering,Psychology,Physics I
43,2,Biomedical Engineering,Communication and Presentation Skills,Engineering Ethics
43,3,Biomedical Engineering,Biomaterials,Medical Imaging and Instrumentation
43,3,Biomedical Engineering,Data Structures and Algorithms,Introduction to Biomedical Signal Processing
43,3,Biomedical Engineering,Economics,Technical Writing and Presentation
43,3,Biomedical Engineering,History and Philosophy of Science,Engineering Design Laboratory
43,4,Biomedical Engineering,Biomedical Device Design,Biomedical Engineering Elective
43,4,Biomedical Engineering,Tissue Engineering,Biomedical Engineering Elective
43,4,Biomedical Engineering,Ethics in Engineering,Biomedical Engineering Seminar
43,4,Biomedical Engineering,Biomedical Engineering Capstone Project,Independent Research in Biomedical Engineering
43,1,English,Introduction to Literature,English Composition
43,1,English,World Mythology,Spanish Language
43,1,English,Art,Introduction to Sociology
44,1,English,Psychology,College Success Seminar
44,2,English,British Literature I,British Literature II
44,2,English,American Literature I,American Literature II
44,2,English,Communication and Presentation Skills,Introduction to Linguistics
44,2,English,Introduction to Philosophy,History of English Literature
44,3,English,Shakespearean Plays,Romantic Literature
44,3,English,Modern Literature,Technical Writing and Presentation
44,3,English,Film Studies,World Literature
44,3,English,Creative Writing,British Drama
44,4,English,Contemporary Literature,American Drama
44,4,English,Literature and the Environment,English Elective
44,4,English,Ethics in Literature,English Seminar
44,4,English,Independent Research in English,Senior Thesis in English
44,1,Chemistry,General Chemistry I,Calculus I
44,1,Chemistry,Introduction to Digital Logic,English Composition
44,1,Chemistry,Art,General Biology
45,1,Chemistry,Introduction to Sociology,College Success Seminar
45,2,Chemistry,General Chemistry II,Calculus II
45,2,Chemistry,Organic Chemistry I,Physics I
45,2,Chemistry,Communication and Presentation Skills,Introduction to Biochemistry
45,2,Chemistry,Ethics in Science,Introduction to Inorganic Chemistry
45,3,Chemistry,Physical Chemistry I,Analytical Chemistry
45,3,Chemistry,Data Structures and Algorithms,Introduction to Quantum Chemistry
45,3,Chemistry,Technical Writing and Presentation,Inorganic Chemistry Laboratory
45,3,Chemistry,History and Philosophy of Science,Introduction to Physical Chemistry Laboratory
45,4,Chemistry,Organic Chemistry II,Physical Chemistry II
45,4,Chemistry,Chemistry Elective,Chemistry Elective
45,4,Chemistry,Chemistry Elective,Chemistry Seminar
45,4,Chemistry,Independent Research in Chemistry,Senior Thesis in Chemistry
45,1,Music Performance,Music Theory I,Music History I
45,1,Music Performance,Private Instrument/Voice Instruction,English Composition
45,1,Music Performance,Art,Music Ensemble
46,1,Music Performance,Introduction to Sociology,College Success Seminar
46,2,Music Performance,Music Theory II,Music History II
46,2,Music Performance,Private Instrument/Voice Instruction,Music Ensemble
46,2,Music Performance,Communication and Presentation Skills,Music Literature
46,2,Music Performance,Introduction to Philosophy,History and Systems of Music
46,3,Music Performance,Music Theory III,Music History III
46,3,Music Performance,Private Instrument/Voice Instruction,Music Ensemble
46,3,Music Performance,Music Technology and Production,Music in World Cultures
46,3,Music Performance,Technical Writing and Presentation,Orchestration and Arranging
46,4,Music Performance,Music Theory IV,Music History IV
46,4,Music Performance,Private Instrument/Voice Instruction,Music Ensemble
46,4,Music Performance,Music Elective,Music Elective
46,4,Music Performance,Music Performance Seminar,Independent Research in Music
46,1,Political Science,Introduction to Political Science,Calculus I
46,1,Political Science,Introduction to Digital Logic,English Composition
46,1,Political Science,Spanish Language,General Chemistry
47,1,Political Science,Introduction to Sociology,College Success Seminar
47,2,Political Science,American Government,Calculus II
47,2,Political Science,International Relations,Introduction to Programming (Python)
47,2,Political Science,Communication and Presentation Skills,Introduction to Philosophy
47,2,Political Science,Economics,World Politics
47,3,Political Science,Comparative Politics,Political Theory
47,3,Political Science,Data Structures and Algorithms,Research Methods in Political Science
47,3,Political Science,History and Philosophy of Science,Technical Writing and Presentation
47,3,Political Science,Art,Global Issues and Governance
47,4,Political Science,Public Policy Analysis,Environmental Policy and Politics
47,4,Political Science,Law and Society,Political Science Elective
47,4,Political Science,Political Science Elective,Political Science Seminar
47,4,Political Science,Independent Research in Political Science,Senior Thesis in Political Science
47,1,Aerospace Engineering,Introduction to Aerospace Engineering,Calculus I
47,1,Aerospace Engineering,Introduction to Digital Logic,English Composition
47,1,Aerospace Engineering,Psychology,General Chemistry
48,1,Aerospace Engineering,Introduction to Sociology,College Success Seminar
48,2,Aerospace Engineering,Mechanics of Materials,Introduction to Control Systems
48,2,Aerospace Engineering,Introduction to Programming (Python),Introduction to Electronic Devices
48,2,Aerospace Engineering,Art,Physics I
48,2,Aerospace Engineering,Communication and Presentation Skills,Engineering Ethics
48,3,Aerospace Engineering,Aerodynamics,Thermodynamics
48,3,Aerospace Engineering,Data Structures and Algorithms,Electromagnetic Fields and Waves
48,3,Aerospace Engineering,Economics,Technical Writing and Presentation
48,3,Aerospace Engineering,History and Philosophy of Science,Engineering Design Laboratory
48,4,Aerospace Engineering,Flight Dynamics and Control,Aerospace Propulsion
48,4,Aerospace Engineering,Aerospace Vehicle Design,Aerospace Structures
48,4,Aerospace Engineering,Engineering Elective,Engineering Elective
48,4,Aerospace Engineering,Ethics in Engineering,Engineering Seminar
48,1,Biology,Introduction to Biology,Calculus I
48,1,Biology,Introduction to Sociology,English Composition
48,1,Biology,Spanish Language,General Chemistry
49,1,Biology,Introduction to Philosophy,College Success Seminar
49,2,Biology,Genetics,Statistics for Biological Sciences
49,2,Biology,Cell Biology,Introduction to Programming (Python)
49,2,Biology,Art,Physics I
49,2,Biology,Communication and Presentation Skills,Environmental Science
49,3,Biology,Ecology,Evolutionary Biology
49,3,Biology,Data Analysis for Biological Sciences,Microbiology
49,3,Biology,Economics,Technical Writing and Presentation
49,3,Biology,History and Philosophy of Science,Engineering Design Laboratory
49,4,Biology,Senior Thesis in Biology,Advanced Topics in Biology
49,4,Biology,Anatomy and Physiology,Biology Elective
49,4,Biology,Biology Elective,Ethics in Biology
49,4,Biology,Biology Seminar,Independent Research in Biology
49,1,Civil Engineering,Introduction to Civil Engineering,Calculus I
49,1,Civil Engineering,Introduction to Digital Logic,English Composition
49,1,Civil Engineering,Art,General Chemistry
50,1,Civil Engineering,Introduction to Sociology,College Success Seminar
50,2,Civil Engineering,Mechanics of Materials,Introduction to Control Systems
50,2,Civil Engineering,Introduction to Programming (Python),Introduction to Environmental Engineering
50,2,Civil Engineering,Spanish Language,Physics I
50,2,Civil Engineering,Communication and Presentation Skills,Engineering Ethics
50,3,Civil Engineering,Structural Analysis,Geotechnical Engineering
50,3,Civil Engineering,Data Structures and Algorithms,Introduction to Transportation Systems
50,3,Civil Engineering,Economics,Technical Writing and Presentation
50,3,Civil Engineering,History and Philosophy of Science,Engineering Design Laboratory
50,4,Civil Engineering,Senior Design Project I,Senior Design Project II
50,4,Civil Engineering,Hydraulic Engineering,Environmental Engineering
50,4,Civil Engineering,Engineering Elective,Engineering Elective
50,4,Civil Engineering,Ethics in Engineering,Engineering Seminar
50,1,Economics,Introduction to Economics,Calculus I
50,1,Economics,Introduction to Sociology,English Composition
50,1,Economics,French Language,General Chemistry
51,1,Economics,Introduction to Philosophy,College Success Seminar
51,2,Economics,Microeconomics,Macroeconomics
51,2,Economics,Statistics for Economics,Introduction to Programming (Python)
51,2,Economics,Art,Physics I
51,2,Economics,Communication and Presentation Skills,Ethics in Economics
51,3,Economics,Econometrics,International Trade and Finance
51,3,Economics,Data Analysis for Economics,Environmental Economics
51,3,Economics,History of Economic Thought,Technical Writing and Presentation
51,3,Economics,History and Philosophy of Science,Engineering Design Laboratory
51,4,Economics,Senior Thesis in Economics,Economic Policy Analysis
51,4,Economics,Development Economics,Economics Elective
51,4,Economics,Economics Elective,Economics Seminar
51,4,Economics,Independent Research in Economics,Capstone Project in Economics
51,1,English Literature,Introduction to Literature,Calculus I
51,1,English Literature,Introduction to Sociology,English Composition
51,1,English Literature,Spanish Language,General Chemistry
52,1,English Literature,Introduction to Philosophy,College Success Seminar
52,2,English Literature,British Literature,American Literature
52,2,English Literature,World Literature,Introduction to Programming (Python)
52,2,English Literature,Art,Physics I
52,2,English Literature,Communication and Presentation Skills,Creative Writing
52,3,English Literature,Shakespearean Literature,Literary Theory and Criticism
52,3,English Literature,Modern American Literature,Data Analysis for Humanities
52,3,English Literature,History of the English Language,Technical Writing and Presentation
52,3,English Literature,History and Philosophy of Science,Engineering Design Laboratory
52,4,English Literature,Senior Seminar in English Literature,Advanced Topics in Literature
52,4,English Literature,Contemporary World Literature,Literature Elective
52,4,English Literature,Literature Elective,Literature Seminar
52,4,English Literature,Independent Research in Literature,Senior Thesis in English Literature
52,1,Civil Engineering,Introduction to Civil Engineering,Calculus I
52,1,Civil Engineering,Introduction to Digital Logic,English Composition
52,1,Civil Engineering,Art,General Chemistry
53,1,Civil Engineering,Introduction to Sociology,College Success Seminar
53,2,Civil Engineering,Engineering Mechanics,Calculus II
53,2,Civil Engineering,Engineering Materials,Introduction to Programming (Python)
53,2,Civil Engineering,Spanish Language,Physics I
53,2,Civil Engineering,Communication and Presentation Skills,Engineering Ethics
53,3,Civil Engineering,Structural Analysis,Geotechnical Engineering
53,3,Civil Engineering,Environmental Engineering,Construction Management
53,3,Civil Engineering,Economics,Technical Writing and Presentation
53,3,Civil Engineering,History and Philosophy of Science,Engineering Design Laboratory
53,4,Civil Engineering,Senior Design Project I,Senior Design Project II
53,4,Civil Engineering,Water Resources Engineering,Transportation Engineering
53,4,Civil Engineering,Engineering Elective,Ethics in Engineering
53,4,Civil Engineering,Engineering Seminar,Engineering Project Management
53,1,English,Introduction to Literature,English Composition
53,1,English,Introduction to Sociology,Spanish Language
53,1,English,Art,World History
54,1,English,Introduction to Philosophy,College Success Seminar
54,2,English,British Literature,American Literature
54,2,English,Creative Writing,Linguistics
54,2,English,Communication and Presentation Skills,Introduction to Gender Studies
54,2,English,Introduction to Film Studies,World Mythologies
54,3,English,Shakespearean Drama,Literary Theory
54,3,English,Modernist Literature,African American Literature
54,3,English,Poetry Workshop,Technical Writing and Presentation
54,3,English,Introduction to Postcolonial Literature,History and Systems of English Literature
54,4,English,Senior Thesis in English,Contemporary Fiction
54,4,English,Women's Literature,English Elective
54,4,English,Film Adaptations,English Elective
54,4,English,English Seminar,Independent Research in English
54,1,Aerospace Engineering,Introduction to Aerospace Engineering,Calculus I
54,1,Aerospace Engineering,Introduction to Digital Logic,English Composition
54,1,Aerospace Engineering,Art,General Chemistry
55,1,Aerospace Engineering,Introduction to Sociology,College Success Seminar
55,2,Aerospace Engineering,Aerospace Structures,Calculus II
55,2,Aerospace Engineering,Aerospace Materials,Introduction to Programming (Python)
55,2,Aerospace Engineering,Spanish Language,Physics I
55,2,Aerospace Engineering,Communication and Presentation Skills,Engineering Ethics
55,3,Aerospace Engineering,Aerodynamics,Introduction to Control Systems
55,3,Aerospace Engineering,Spacecraft Dynamics,Flight Mechanics
55,3,Aerospace Engineering,Economics,Technical Writing and Presentation
55,3,Aerospace Engineering,History and Philosophy of Science,Engineering Design Laboratory
55,4,Aerospace Engineering,Senior Design Project I,Senior Design Project II
55,4,Aerospace Engineering,Propulsion and Rocket Engines,Introduction to Space Systems
55,4,Aerospace Engineering,Aircraft Design,Ethics in Engineering
55,4,Aerospace Engineering,Engineering Seminar,Aerospace Engineering Lab
55,1,Biology,Introduction to Biology,Calculus I
55,1,Biology,Introduction to Sociology,English Composition
55,1,Biology,Spanish Language,General Chemistry
56,1,Biology,Introduction to Philosophy,College Success Seminar
56,2,Biology,Genetics,Statistics for Biological Sciences
56,2,Biology,Cellular Biology,Introduction to Programming (Python)
56,2,Biology,Art,Physics I
56,2,Biology,Communication and Presentation Skills,Introduction to Environmental Science
56,3,Biology,Ecology,Evolutionary Biology
56,3,Biology,Biochemistry,Human Anatomy and Physiology
56,3,Biology,Economics,Technical Writing and Presentation
56,3,Biology,History and Philosophy of Science,Laboratory Techniques in Biology
56,4,Biology,Senior Thesis in Biology,Developmental Biology
56,4,Biology,Microbiology,Biology Elective
56,4,Biology,Neuroscience,Biology Elective
56,4,Biology,Biology Seminar,Independent Research in Biology
56,1,Environmental Studies,Introduction to Environmental Studies,Calculus I
56,1,Environmental Studies,Introduction to Sociology,English Composition
56,1,Environmental Studies,Art,General Chemistry
57,1,Environmental Studies,Introduction to Anthropology,College Success Seminar
57,2,Environmental Studies,Environmental Policy and Regulation,Statistics for Environmental Sciences
57,2,Environmental Studies,Earth System Science,Introduction to Programming (Python)
57,2,Environmental Studies,Spanish Language,Physics I
57,2,Environmental Studies,Communication and Presentation Skills,Environmental Ethics
57,3,Environmental Studies,Ecosystem Ecology,Environmental Chemistry
57,3,Environmental Studies,Data Analysis for Environmental Studies,Geology and Earth Processes
57,3,Environmental Studies,Economics,Technical Writing and Presentation
57,3,Environmental Studies,History and Systems of Environmental Science,Engineering Design Laboratory
57,4,Environmental Studies,Senior Thesis in Environmental Studies,Environmental Impact Assessment
57,4,Environmental Studies,Conservation Biology,Environmental Science Elective
57,4,Environmental Studies,Environmental Studies Elective,Ethics in Environmental Studies
57,4,Environmental Studies,Environmental Studies Seminar,Independent Research in Environmental Studies
57,1,Biomedical Engineering,Introduction to Biomedical Engineering,Calculus I
57,1,Biomedical Engineering,Introduction to Digital Logic,English Composition
57,1,Biomedical Engineering,Psychology,General Chemistry
58,1,Biomedical Engineering,Introduction to Sociology,College Success Seminar
58,2,Biomedical Engineering,Cell and Tissue Engineering,Calculus II
58,2,Biomedical Engineering,Data Structures and Algorithms,Introduction to Programming (Python)
58,2,Biomedical Engineering,Art,Physics I
58,2,Biomedical Engineering,Communication and Presentation Skills,Engineering Ethics
58,3,Biomedical Engineering,Biomaterials,Biomechanics
58,3,Biomedical Engineering,Electronics for Biomedical Engineering,Human Physiology
58,3,Biomedical Engineering,Economics,Technical Writing and Presentation
58,3,Biomedical Engineering,History and Philosophy of Science,Engineering Design Laboratory
58,4,Biomedical Engineering,Biomedical Instrumentation,Biomedical Engineering Senior Design Project
58,4,Biomedical Engineering,Medical Imaging Techniques,Biomedical Engineering Elective
58,4,Biomedical Engineering,Engineering Elective,Ethics in Engineering
58,4,Biomedical Engineering,Biomedical Engineering Seminar,Independent Research in Biomedical Engineering
58,1,Architecture,Introduction to Architecture,Calculus I
58,1,Architecture,Introduction to Digital Logic,English Composition
58,1,Architecture,Art,General Chemistry
59,1,Architecture,Introduction to Sociology,College Success Seminar
59,2,Architecture,Architectural Design I,History of Architecture
59,2,Architecture,Data Structures and Algorithms,Introduction to Programming (Python)
59,2,Architecture,Art,Physics I
59,2,Architecture,Communication and Presentation Skills,Engineering Ethics
59,3,Architecture,Architectural Design II,Building Systems
59,3,Architecture,Environmental Studies,Urban Planning and Design
59,3,Architecture,Economics,Technical Writing and Presentation
59,3,Architecture,History and Philosophy of Architecture,Engineering Design Laboratory
59,4,Architecture,Architectural Design III,Architecture and Society
59,4,Architecture,Advanced Topics in Architecture,Architecture Elective
59,4,Architecture,Architecture Elective,Ethics in Architecture
59,4,Architecture,Architecture Seminar,Independent Research in Architecture
59,1,Environmental Engineering,Introduction to Environmental Engineering,Calculus I
59,1,Environmental Engineering,Introduction to Digital Logic,English Composition
59,1,Environmental Engineering,Spanish Language,General Chemistry
60,1,Environmental Engineering,Introduction to Sociology,College Success Seminar
60,2,Environmental Engineering,Environmental Chemistry,Statistics for Environmental Sciences
60,2,Environmental Engineering,Earth System Science,Introduction to Programming (Python)
60,2,Environmental Engineering,Art,Physics I
60,2,Environmental Engineering,Communication and Presentation Skills,Environmental Ethics
60,3,Environmental Engineering,Environmental Policy and Regulation,Environmental Engineering Design
60,3,Environmental Engineering,Data Structures and Algorithms,Environmental Monitoring and Analysis
60,3,Environmental Engineering,Economics,Technical Writing and Presentation
60,3,Environmental Engineering,History and Philosophy of Science,Engineering Design Laboratory
60,4,Environmental Engineering,Environmental Impact Assessment,Sustainable Engineering Practices
60,4,Environmental Engineering,Water Resources Engineering,Engineering Elective
60,4,Environmental Engineering,Engineering Elective,Ethics in Engineering
60,4,Environmental Engineering,Environmental Engineering Seminar,Independent Research in Environmental Engineering
60,1,Journalism,Introduction to Journalism,Calculus I
60,1,Journalism,Introduction to Sociology,English Composition
60,1,Journalism,Psychology,General Chemistry
61,1,Journalism,Introduction to Political Science,College Success Seminar
61,2,Journalism,Reporting and Writing,Multimedia Journalism
61,2,Journalism,Data Structures and Algorithms,Introduction to Programming (Python)
61,2,Journalism,Art,Economics Principles
61,2,Journalism,Communication and Presentation Skills,Business Ethics
61,3,Journalism,Investigative Reporting,Feature Writing
61,3,Journalism,Broadcast Journalism,Media Ethics and Law
61,3,Journalism,Environmental Studies,Technical Writing and Presentation
61,3,Journalism,History and Philosophy of Journalism,Journalism Design and Layout
61,4,Journalism,Multimedia Storytelling,Journalism Elective
61,4,Journalism,Data Visualization and Infographics,Journalism Seminar
61,4,Journalism,Journalism Elective,Ethics in Journalism
61,4,Journalism,Independent Research in Journalism,Senior Journalism Project
61,1,Applied Mathematics,Introduction to Applied Mathematics,Calculus I
61,1,Applied Mathematics,Introduction to Digital Logic,English Composition
61,1,Applied Mathematics,Psychology,General Chemistry
62,1,Applied Mathematics,Introduction to Sociology,College Success Seminar
62,2,Applied Mathematics,Linear Algebra,Calculus II
62,2,Applied Mathematics,Probability and Statistics,Introduction to Programming (Python)
62,2,Applied Mathematics,Art,Physics I
62,2,Applied Mathematics,Communication and Presentation Skills,Engineering Ethics
62,3,Applied Mathematics,Differential Equations,Applied Complex Analysis
62,3,Applied Mathematics,Numerical Analysis,Partial Differential Equations
62,3,Applied Mathematics,Economics,Technical Writing and Presentation
62,3,Applied Mathematics,History and Philosophy of Mathematics,Engineering Design Laboratory
62,4,Applied Mathematics,Mathematical Modeling,Advanced Topics in Applied Mathematics
62,4,Applied Mathematics,Applied Mathematics Elective,Ethics in Mathematics
62,4,Applied Mathematics,Applied Mathematics Seminar,Independent Research in Applied Mathematics
